age,3
ate,3
ale,3
ace,3
ape,3
fame,4
bake,4
safe,4
sage,4
pale,4
sake,4
page,4
pace,4
sale,4
pane,4
same,4
save,4
fate,4
face,4
fade,4
fake,4
bale,4
haze,4
gaze,4
gate,4
race,4
gape,4
cage,4
game,4
rage,4
gale,4
dale,4
cake,4
rake,4
came,4
rate,4
cane,4
cape,4
case,4
cave,4
base,4
gage,4
dame,4
gave,4
lake,4
lane,4
tape,4
late,4
tame,4
name,4
jade,4
tale,4
take,4
laze,4
lace,4
daze,4
made,4
lame,4
make,4
date,4
maze,4
wave,4
wane,4
mane,4
wade,4
wage,4
wake,4
plate,5
trace,5
grave,5
chase,5
graze,5
brave,5
brake,5
grate,5
trade,5
grape,5
erase,5
grade,5
phase,5
grace,5
blade,5
brace,5
blame,5
glaze,5
place,5
blaze,5
plane,5
glade,5
drape,5
frame,5
stale,5
shave,5
state,5
stave,5
orate,5
skate,5
slate,5
crane,5
slave,5
shape,5
crate,5
crave,5
craze,5
amaze,5
space,5
spade,5
stage,5
stake,5
snake,5
quake,5
whale,5
shale,5
shake,5
flame,5
shade,5
flake,5
scale,5
irate,5
shame,5
evade,5
awake,5
vacate,6
tirade,6
intake,6
humane,6
create,6
relate,6
inhale,6
invade,6
scrape,6
donate,6
debate,6
unsafe,6
locate,6
decade,6
rotate,6
engage,6
ornate,6
escape,6
estate,6
became,6
equate,6
ablaze,6
notate,6
berate,6
phrase,6
enrage,6
exhale,6
behave,6
parade,6
arcade,6
octave,6
replace,7
teenage,7
teacake,7
inflame,7
deflate,7
inflate,7
narrate,7
iterate,7
agitate,7
concave,7
collate,7
isolate,7
surname,7
hydrate,7
operate,7
mistake,7
animate,7
crusade,7
cupcake,7
imitate,7
outrage,7
pancake,7
brigade,7
vibrate,7
elevate,7
forgave,7
mediate,7
educate,7
rampage,7
forsake,7
engrave,7
primate,7
emulate,7
forbade,7
dictate,7
grenade,7
cascade,7
medicate,8
stagnate,8
allocate,8
abdicate,8
cumulate,8
excavate,8
tolerate,8
marinade,8
database,8
inhumane,8
amputate,8
offstage,8
marinate,8
annotate,8
emigrate,8
shoelace,8
indicate,8
insulate,8
innovate,8
alienate,8
nominate,8
escapade,8
detonate,8
template,8
activate,8
misplace,8
escalate,8
disgrace,8
motivate,8
incubate,8
lemonade,8
evacuate,8
levitate,8
liberate,8
dedicate,8
displace,8
validate,8
dominate,8
decorate,8
meditate,8
irritate,8
sunshade,8
irrigate,8
evaluate,8
suitcase,8
navigate,8
intonate,8
airplane,8
initiate,8
handmade,8
graduate,8
bookcase,8
blockade,8
serenade,8
hesitate,8
renovate,8
generate,8
resonate,8
overtake,8
fumigate,8
flatmate,8
homemade,8
recreate,8
populate,8
forename,8
saturate,8
regulate,8
automate,8
formulate,9
dehydrate,9
classmate,9
fireplace,9
backspace,9
retaliate,9
backstage,9
floodgate,9
humiliate,9
vindicate,9
fluctuate,9
handshake,9
hibernate,9
designate,9
liquidate,9
microwave,9
dislocate,9
granulate,9
undertake,9
eradicate,9
translate,9
legislate,9
ventilate,9
misbehave,9
reinstate,9
celebrate,9
barricade,9
checkmate,9
devastate,9
handbrake,9
landscape,9
lampshade,9
captivate,9
evaporate,9
replicate,9
circulate,9
frustrate,9
vaccinate,9
segregate,9
fascinate,9
cultivate,9
instigate,9
infuriate,9
culminate,9
speculate,9
briefcase,9
insinuate,9
fabricate,9
pollinate,9
eliminate,9
implicate,9
officiate,9
snowflake,9
negotiate,9
integrate,9
staircase,9
extricate,9
alternate,9
corrugate,9
cooperate,9
hurricane,9
punctuate,9
marmalade,9
alleviate,9
originate,9
oscillate,9
correlate,9
stalemate,9
calculate,9
appreciate,10
incinerate,10
abbreviate,10
accelerate,10
accumulate,10
facilitate,10
congregate,10
infiltrate,10
articulate,10
invalidate,10
tessellate,10
manipulate,10
perpetrate,10
pillowcase,10
exaggerate,10
commentate,10
intimidate,10
decelerate,10
compensate,10
earthquake,10
illuminate,10
masquerade,10
complicate,10
illustrate,10
obliterate,10
depreciate,10
amalgamate,10
confiscate,10
cheesecake,10
deactivate,10
recalculate,11
reciprocate,11
incriminate,11
investigate,11
contaminate,11
incorporate,11
corroborate,11
consolidate,11
exterminate,11
impersonate,11
concentrate,11
interrogate,11
communicate,11
refrigerate,11
subordinate,11
collaborate,11
commemorate,11
contemplate,11
resuscitate,11
demonstrate,11
deteriorate,11
participate,11
accommodate,11
commiserate,11
steeplechase,12
congratulate,12
incapacitate,12
discriminate,12
disintegrate,12
disorientate,12
differentiate,13
circumnavigate,14
